,Subject,Trial,Angle,Matching,Response,Time,Correct
4265,22,42.0,0.0,False,n,2922.0,True
4266,22,43.0,100.0,True,n,5417.0,False
4267,22,44.0,150.0,False,n,6400.0,True
4268,22,45.0,50.0,False,n,5763.0,True
4270,22,47.0,0.0,True,b,1618.0,True
4271,22,48.0,50.0,True,b,2488.0,True
4272,22,49.0,100.0,False,n,2156.0,True
4273,22,50.0,150.0,False,n,3138.0,True
4274,22,51.0,0.0,True,b,1533.0,True
4275,22,52.0,0.0,False,n,3359.0,True
4276,22,53.0,100.0,True,b,4526.0,True
4277,22,54.0,50.0,False,n,2280.0,True
4278,22,55.0,150.0,True,b,5223.0,True
4279,22,56.0,50.0,True,b,2710.0,True
4280,22,57.0,150.0,False,n,3109.0,True
4281,22,58.0,100.0,False,n,3676.0,True
4282,22,59.0,150.0,True,b,2491.0,True
4283,22,60.0,100.0,True,b,3689.0,True
4284,22,61.0,0.0,True,b,1253.0,True
4285,22,62.0,0.0,False,n,2246.0,True
4286,22,63.0,50.0,False,n,2633.0,True
4287,22,64.0,50.0,True,b,1746.0,True
4288,22,65.0,150.0,False,n,1992.0,True
4289,22,66.0,0.0,True,b,2135.0,True
4291,22,68.0,0.0,False,n,1888.0,True
4292,22,69.0,50.0,False,n,6146.0,True
4293,22,70.0,50.0,True,b,2516.0,True
4294,22,71.0,100.0,True,b,5021.0,True
4295,22,72.0,100.0,False,n,3840.0,True
4296,22,73.0,100.0,True,b,2673.0,True
4297,22,74.0,100.0,False,n,3743.0,True
4298,22,75.0,150.0,True,n,4433.0,False
4299,22,76.0,0.0,False,n,2680.0,True
4300,22,77.0,0.0,True,b,1815.0,True
4301,22,78.0,50.0,True,n,4450.0,False
4302,22,79.0,50.0,False,n,2617.0,True
4303,22,80.0,150.0,False,n,5508.0,True
4304,22,81.0,50.0,False,n,5317.0,True
4305,22,82.0,0.0,True,b,1318.0,True
4306,22,83.0,150.0,False,n,7011.0,True
4307,22,84.0,50.0,True,b,3340.0,True
4308,22,85.0,100.0,True,b,3838.0,True
4309,22,86.0,0.0,False,n,2366.0,True
4310,22,87.0,150.0,True,b,5941.0,True
4311,22,88.0,100.0,False,n,3870.0,True
4312,22,89.0,100.0,False,n,6052.0,True
4313,22,90.0,50.0,True,b,1654.0,True
4314,22,91.0,0.0,True,b,987.0,True
4315,22,92.0,150.0,True,b,6955.0,True
4316,22,93.0,150.0,False,n,4560.0,True
4317,22,94.0,50.0,False,n,3625.0,True
4318,22,95.0,100.0,True,b,1651.0,True
4319,22,96.0,0.0,False,b,6216.0,False
4320,8,1.0,0.0,False,n,2703.0,True
4321,8,2.0,150.0,False,n,2556.0,True
4322,8,3.0,150.0,True,b,3591.0,True
4323,8,4.0,100.0,True,b,4128.0,True
4324,8,5.0,50.0,True,b,2821.0,True
4325,8,6.0,50.0,False,n,2448.0,True
4326,8,7.0,100.0,False,n,2811.0,True
4327,8,8.0,0.0,True,b,2012.0,True
4328,8,9.0,150.0,False,n,3213.0,True
4329,8,10.0,150.0,True,b,2719.0,True
4330,8,11.0,50.0,False,n,3135.0,True
4331,8,12.0,0.0,False,n,1385.0,True
4332,8,13.0,0.0,True,b,1196.0,True
4333,8,14.0,100.0,False,n,4444.0,True
4334,8,15.0,100.0,True,b,2200.0,True
4335,8,16.0,50.0,True,b,1684.0,True
4336,8,17.0,100.0,False,n,4736.0,True
4337,8,18.0,150.0,True,b,1876.0,True
4338,8,19.0,50.0,False,n,2081.0,True
4339,8,20.0,50.0,True,b,1341.0,True
4340,8,21.0,100.0,False,n,2165.0,True
4341,8,22.0,0.0,False,n,1824.0,True
4342,8,23.0,0.0,True,b,1064.0,True
4343,8,24.0,150.0,False,n,4871.0,True
4344,8,25.0,150.0,False,n,1992.0,True
4345,8,26.0,50.0,False,n,2544.0,True
4346,8,27.0,50.0,True,b,2994.0,True
4347,8,28.0,100.0,True,b,2822.0,True
4348,8,29.0,0.0,True,b,1188.0,True
4349,8,30.0,0.0,False,n,1500.0,True
4350,8,31.0,150.0,True,b,4093.0,True
4351,8,32.0,100.0,False,n,3820.0,True
4352,8,33.0,50.0,True,b,1351.0,True
4353,8,34.0,100.0,True,b,2692.0,True
4354,8,35.0,150.0,True,b,2582.0,True
4355,8,36.0,0.0,False,n,2586.0,True
4356,8,37.0,100.0,True,b,2719.0,True
4357,8,38.0,150.0,False,n,2570.0,True
4358,8,39.0,0.0,True,b,932.0,True
4359,8,40.0,50.0,False,n,1060.0,True
4360,8,41.0,150.0,True,b,1794.0,True
4361,8,42.0,0.0,False,b,1431.0,False
4362,8,43.0,100.0,True,b,4619.0,True
4363,8,44.0,150.0,False,n,2575.0,True
4364,8,45.0,50.0,False,n,1627.0,True
4365,8,46.0,100.0,False,n,4160.0,True
4366,8,47.0,0.0,True,b,1105.0,True
4367,8,48.0,50.0,True,b,1676.0,True
4368,8,49.0,100.0,False,n,2280.0,True
4369,8,50.0,150.0,False,n,2408.0,True
4370,8,51.0,0.0,True,b,1486.0,True
4371,8,52.0,0.0,False,n,1065.0,True
4372,8,53.0,100.0,True,b,1950.0,True
4373,8,54.0,50.0,False,n,872.0,True
4374,8,55.0,150.0,True,b,4967.0,True
4375,8,56.0,50.0,True,b,1474.0,True
4376,8,57.0,150.0,False,n,1885.0,True
4377,8,58.0,100.0,False,n,2387.0,True
4378,8,59.0,150.0,True,b,1899.0,True
4379,8,60.0,100.0,True,b,3074.0,True
4380,8,61.0,0.0,True,b,1033.0,True
4381,8,62.0,0.0,False,n,976.0,True
4382,8,63.0,50.0,False,n,1038.0,True
4383,8,64.0,50.0,True,b,1416.0,True
4384,8,65.0,150.0,False,n,2377.0,True
4385,8,66.0,0.0,True,b,1417.0,True
4386,8,67.0,150.0,True,b,1892.0,True
4387,8,68.0,0.0,False,n,1241.0,True
4388,8,69.0,50.0,False,n,1044.0,True
4389,8,70.0,50.0,True,b,1017.0,True
4390,8,71.0,100.0,True,b,1385.0,True
4391,8,72.0,100.0,False,n,3012.0,True
4392,8,73.0,100.0,True,b,3287.0,True
4393,8,74.0,100.0,False,n,1650.0,True
4394,8,75.0,150.0,True,b,1836.0,True
4395,8,76.0,0.0,False,n,1414.0,True
4396,8,77.0,0.0,True,b,1284.0,True
4397,8,78.0,50.0,True,b,1362.0,True
4398,8,79.0,50.0,False,n,899.0,True
4399,8,80.0,150.0,False,n,3608.0,True
4400,8,81.0,50.0,False,n,5103.0,True
4401,8,82.0,0.0,True,b,1159.0,True
4402,8,83.0,150.0,False,n,1901.0,True
4403,8,84.0,50.0,True,b,1986.0,True
4404,8,85.0,100.0,True,b,1561.0,True
4405,8,86.0,0.0,False,n,1261.0,True
4406,8,87.0,150.0,True,n,3320.0,False
4407,8,88.0,100.0,False,n,3435.0,True
4408,8,89.0,100.0,False,n,1418.0,True
4409,8,90.0,50.0,True,b,1389.0,True
4410,8,91.0,0.0,True,b,886.0,True
4411,8,92.0,150.0,True,b,3873.0,True
4412,8,93.0,150.0,False,n,2780.0,True
4413,8,94.0,50.0,False,n,1417.0,True
4414,8,95.0,100.0,True,b,1142.0,True
4415,8,96.0,0.0,False,n,2706.0,True
4416,50,1.0,0.0,False,n,5262.0,True
4417,50,2.0,150.0,False,n,3977.0,True
4418,50,3.0,150.0,True,b,2189.0,True
4419,50,4.0,100.0,True,b,4956.0,True
4420,50,5.0,50.0,True,b,3184.0,True
4421,50,6.0,50.0,False,n,3315.0,True
4422,50,7.0,100.0,False,n,3907.0,True
4423,50,8.0,0.0,True,b,2504.0,True
4424,50,9.0,150.0,False,n,4441.0,True
4425,50,10.0,150.0,True,b,3047.0,True
4426,50,11.0,50.0,False,n,4799.0,True
4427,50,12.0,0.0,False,n,3929.0,True
4428,50,13.0,0.0,True,b,2422.0,True
4429,50,14.0,100.0,False,n,3859.0,True
4430,50,15.0,100.0,True,b,2988.0,True
4431,50,16.0,50.0,True,b,3374.0,True
4432,50,17.0,100.0,False,n,3675.0,True
4433,50,18.0,150.0,True,b,2040.0,True
4434,50,19.0,50.0,False,n,3547.0,True
4435,50,20.0,50.0,True,b,2005.0,True
4436,50,21.0,100.0,False,n,6484.0,True
4437,50,22.0,0.0,False,n,3859.0,True
4438,50,23.0,0.0,True,b,2628.0,True
4439,50,24.0,150.0,False,b,4017.0,False
4440,50,25.0,150.0,False,n,4000.0,True
4441,50,26.0,50.0,False,n,4209.0,True
4442,50,27.0,50.0,True,b,2510.0,True
4443,50,28.0,100.0,True,b,5030.0,True
4444,50,29.0,0.0,True,b,2085.0,True
4445,50,30.0,0.0,False,n,3309.0,True
4446,50,31.0,150.0,True,b,4732.0,True
4447,50,32.0,100.0,False,n,3100.0,True
4448,50,33.0,50.0,True,b,3249.0,True
4449,50,34.0,100.0,True,b,4618.0,True
4450,50,35.0,150.0,True,n,6254.0,False
4451,50,36.0,0.0,False,n,3205.0,True
4452,50,37.0,100.0,True,b,2963.0,True
4453,50,38.0,150.0,False,n,4149.0,True
4454,50,39.0,0.0,True,b,1931.0,True
4455,50,40.0,50.0,False,n,4119.0,True
4456,50,41.0,150.0,True,b,2317.0,True
4457,50,42.0,0.0,False,n,3155.0,True
4458,50,43.0,100.0,True,b,3895.0,True
4459,50,44.0,150.0,False,n,2880.0,True
4460,50,45.0,50.0,False,n,3417.0,True
4461,50,46.0,100.0,False,n,2340.0,True
4462,50,47.0,0.0,True,b,2647.0,True
4463,50,48.0,50.0,True,b,3168.0,True
4464,50,49.0,100.0,False,n,3438.0,True
4465,50,50.0,150.0,False,n,2949.0,True
4466,50,51.0,0.0,True,b,1684.0,True
4467,50,52.0,0.0,False,n,2498.0,True
4468,50,53.0,100.0,True,b,2506.0,True
4469,50,54.0,50.0,False,n,1779.0,True
4470,50,55.0,150.0,True,b,2317.0,True
4471,50,56.0,50.0,True,b,2514.0,True
4472,50,57.0,150.0,False,n,2720.0,True
4473,50,58.0,100.0,False,n,2696.0,True
4474,50,59.0,150.0,True,b,1663.0,True
4475,50,60.0,100.0,True,b,2743.0,True
4476,50,61.0,0.0,True,b,1585.0,True
4477,50,62.0,0.0,False,n,1502.0,True
4478,50,63.0,50.0,False,n,2173.0,True
4479,50,64.0,50.0,True,b,1984.0,True
4480,50,65.0,150.0,False,n,4165.0,True
4481,50,66.0,0.0,True,b,2585.0,True
4482,50,67.0,150.0,True,b,3860.0,True
4483,50,68.0,0.0,False,n,1868.0,True
4484,50,69.0,50.0,False,n,4869.0,True
4485,50,70.0,50.0,True,b,2485.0,True
4486,50,71.0,100.0,True,b,3029.0,True
4487,50,72.0,100.0,False,n,4423.0,True
4488,50,73.0,100.0,True,b,1812.0,True
4489,50,74.0,100.0,False,n,3201.0,True
4490,50,75.0,150.0,True,b,2341.0,True
4491,50,76.0,0.0,False,b,2209.0,False
4492,50,77.0,0.0,True,b,2724.0,True
4493,50,78.0,50.0,True,b,2491.0,True
4494,50,79.0,50.0,False,n,2359.0,True
4495,50,80.0,150.0,False,n,2565.0,True
4498,50,83.0,150.0,False,n,4391.0,True
4499,50,84.0,50.0,True,b,4296.0,True
4500,50,85.0,100.0,True,b,3633.0,True
4501,50,86.0,0.0,False,n,2423.0,True
4502,50,87.0,150.0,True,b,3512.0,True
4503,50,88.0,100.0,False,n,3214.0,True
4504,50,89.0,100.0,False,n,3099.0,True
4505,50,90.0,50.0,True,b,2195.0,True
4506,50,91.0,0.0,True,b,1868.0,True
4507,50,92.0,150.0,True,n,2940.0,False
4508,50,93.0,150.0,False,n,2520.0,True
4509,50,94.0,50.0,False,n,2006.0,True
4510,50,95.0,100.0,True,b,2592.0,True
4511,50,96.0,0.0,False,b,4244.0,False
4512,7,1.0,0.0,False,n,2727.0,True
4513,7,2.0,150.0,False,n,2556.0,True
4514,7,3.0,150.0,True,b,1702.0,True
4515,7,4.0,100.0,True,b,4219.0,True
4516,7,5.0,50.0,True,b,2724.0,True
4517,7,6.0,50.0,False,n,4181.0,True
4518,7,7.0,100.0,False,n,5220.0,True
4519,7,8.0,0.0,True,b,1777.0,True
4520,7,9.0,150.0,False,b,3210.0,False
4521,7,10.0,150.0,True,b,5298.0,True
4522,7,11.0,50.0,False,n,6598.0,True
4523,7,12.0,0.0,False,n,2941.0,True
4524,7,13.0,0.0,True,b,1796.0,True
4525,7,14.0,100.0,False,n,3564.0,True
4526,7,15.0,100.0,True,b,3655.0,True
4527,7,16.0,50.0,True,b,3061.0,True
4528,7,17.0,100.0,False,n,4297.0,True
4529,7,18.0,150.0,True,b,2535.0,True
4530,7,19.0,50.0,False,n,4351.0,True
4531,7,20.0,50.0,True,b,2556.0,True
4532,7,21.0,100.0,False,n,3295.0,True
4533,7,22.0,0.0,False,n,2902.0,True
4534,7,23.0,0.0,True,b,2811.0,True
4535,7,24.0,150.0,False,n,3424.0,True
4536,7,25.0,150.0,False,n,3065.0,True
4537,7,26.0,50.0,False,n,3778.0,True
4538,7,27.0,50.0,True,b,2669.0,True
4539,7,28.0,100.0,True,b,2990.0,True
4540,7,29.0,0.0,True,b,2829.0,True
4541,7,30.0,0.0,False,n,2161.0,True
4542,7,31.0,150.0,True,b,4594.0,True
4543,7,32.0,100.0,False,n,2593.0,True
4544,7,33.0,50.0,True,b,2485.0,True
4545,7,34.0,100.0,True,b,2189.0,True
4546,7,35.0,150.0,True,n,3209.0,False
4547,7,36.0,0.0,False,n,2368.0,True
4548,7,37.0,100.0,True,b,2161.0,True
4549,7,38.0,150.0,False,n,3113.0,True
4550,7,39.0,0.0,True,b,1503.0,True
4551,7,40.0,50.0,False,n,2104.0,True
4552,7,41.0,150.0,True,b,4987.0,True
4553,7,42.0,0.0,False,n,1448.0,True
4554,7,43.0,100.0,True,b,2001.0,True
4555,7,44.0,150.0,False,n,1804.0,True
4556,7,45.0,50.0,False,n,2159.0,True
4557,7,46.0,100.0,False,n,1819.0,True
4558,7,47.0,0.0,True,b,1279.0,True
4559,7,48.0,50.0,True,b,3961.0,True
4560,7,49.0,100.0,False,n,3355.0,True
4561,7,50.0,150.0,False,n,2116.0,True
4562,7,51.0,0.0,True,b,1794.0,True
4563,7,52.0,0.0,False,n,1555.0,True
4564,7,53.0,100.0,True,b,2625.0,True
4565,7,54.0,50.0,False,n,1816.0,True
4566,7,55.0,150.0,True,b,3857.0,True
4567,7,56.0,50.0,True,b,2093.0,True
4568,7,57.0,150.0,False,n,2059.0,True
4569,7,58.0,100.0,False,n,2707.0,True
4570,7,59.0,150.0,True,b,2307.0,True
4571,7,60.0,100.0,True,b,2272.0,True
4572,7,61.0,0.0,True,b,1077.0,True
4573,7,62.0,0.0,False,n,3104.0,True
4574,7,63.0,50.0,False,n,2486.0,True
4575,7,64.0,50.0,True,b,2484.0,True
4576,7,65.0,150.0,False,n,2562.0,True
4577,7,66.0,0.0,True,b,1248.0,True
4578,7,67.0,150.0,True,b,2073.0,True
4579,7,68.0,0.0,False,n,1857.0,True
4580,7,69.0,50.0,False,n,2146.0,True
4581,7,70.0,50.0,True,b,1372.0,True
4582,7,71.0,100.0,True,b,2219.0,True
4583,7,72.0,100.0,False,n,2924.0,True
4584,7,73.0,100.0,True,b,1938.0,True
4585,7,74.0,100.0,False,n,2062.0,True
4586,7,75.0,150.0,True,b,1999.0,True
4587,7,76.0,0.0,False,n,2810.0,True
4588,7,77.0,0.0,True,b,1925.0,True
4589,7,78.0,50.0,True,n,4436.0,False
4590,7,79.0,50.0,False,n,2993.0,True
4591,7,80.0,150.0,False,n,4629.0,True
4592,7,81.0,50.0,False,n,4295.0,True
4593,7,82.0,0.0,True,b,1457.0,True
4594,7,83.0,150.0,False,n,3698.0,True
4595,7,84.0,50.0,True,b,3472.0,True
4596,7,85.0,100.0,True,b,2708.0,True
4597,7,86.0,0.0,False,n,1766.0,True
4598,7,87.0,150.0,True,b,4220.0,True
4599,7,88.0,100.0,False,n,4068.0,True
4600,7,89.0,100.0,False,n,1940.0,True
4601,7,90.0,50.0,True,b,2138.0,True
4602,7,91.0,0.0,True,b,1539.0,True
4603,7,92.0,150.0,True,b,3116.0,True
4604,7,93.0,150.0,False,n,2181.0,True
4605,7,94.0,50.0,False,n,1981.0,True
4606,7,95.0,100.0,True,b,2610.0,True
4607,7,96.0,0.0,False,b,6419.0,False
4608,34,1.0,0.0,False,n,3855.0,True
4609,34,2.0,150.0,False,b,6735.0,False
4610,34,3.0,150.0,True,b,6563.0,True
4612,34,5.0,50.0,True,b,4259.0,True
4613,34,6.0,50.0,False,n,4506.0,True
4614,34,7.0,100.0,False,n,5170.0,True
4615,34,8.0,0.0,True,b,1661.0,True
4616,34,9.0,150.0,False,n,3550.0,True
4617,34,10.0,150.0,True,b,3355.0,True
4618,34,11.0,50.0,False,n,7113.0,True
4619,34,12.0,0.0,False,n,1817.0,True
4620,34,13.0,0.0,True,b,1960.0,True
4621,34,14.0,100.0,False,n,2663.0,True
4622,34,15.0,100.0,True,b,3598.0,True
4623,34,16.0,50.0,True,b,2498.0,True
4624,34,17.0,100.0,False,n,5498.0,True
4625,34,18.0,150.0,True,b,3745.0,True
4626,34,19.0,50.0,False,n,3911.0,True
4627,34,20.0,50.0,True,b,2917.0,True
4628,34,21.0,100.0,False,n,2970.0,True
4629,34,22.0,0.0,False,n,2599.0,True
4630,34,23.0,0.0,True,b,2896.0,True
4631,34,24.0,150.0,False,n,6058.0,True
4632,34,25.0,150.0,False,n,2106.0,True
4633,34,26.0,50.0,False,n,2303.0,True
4634,34,27.0,50.0,True,b,3463.0,True
4635,34,28.0,100.0,True,b,5825.0,True
4636,34,29.0,0.0,True,b,1489.0,True
4637,34,30.0,0.0,False,n,1271.0,True
4638,34,31.0,150.0,True,b,7249.0,True
4639,34,32.0,100.0,False,n,6091.0,True
4640,34,33.0,50.0,True,b,4416.0,True
4641,34,34.0,100.0,True,n,4685.0,False
4642,34,35.0,150.0,True,b,6293.0,True
4643,34,36.0,0.0,False,n,2548.0,True
4644,34,37.0,100.0,True,b,3225.0,True
4645,34,38.0,150.0,False,n,1858.0,True
4646,34,39.0,0.0,True,b,1995.0,True
4647,34,40.0,50.0,False,n,1278.0,True
4648,34,41.0,150.0,True,b,3580.0,True
4649,34,42.0,0.0,False,n,1881.0,True
4650,34,43.0,100.0,True,b,3753.0,True
4651,34,44.0,150.0,False,n,5375.0,True
4652,34,45.0,50.0,False,n,3020.0,True
4653,34,46.0,100.0,False,n,4565.0,True
4654,34,47.0,0.0,True,b,1442.0,True
4655,34,48.0,50.0,True,b,2699.0,True
4656,34,49.0,100.0,False,n,2492.0,True
4657,34,50.0,150.0,False,b,3164.0,False
4658,34,51.0,0.0,True,b,1832.0,True
4659,34,52.0,0.0,False,n,1608.0,True
4660,34,53.0,100.0,True,b,2564.0,True
4661,34,54.0,50.0,False,n,1911.0,True
4662,34,55.0,150.0,True,n,4023.0,False
4663,34,56.0,50.0,True,b,1415.0,True
4664,34,57.0,150.0,False,n,1843.0,True
4665,34,58.0,100.0,False,n,3666.0,True
4666,34,59.0,150.0,True,b,3124.0,True
4667,34,60.0,100.0,True,b,3312.0,True
4668,34,61.0,0.0,True,b,1686.0,True
4669,34,62.0,0.0,False,n,1285.0,True
4670,34,63.0,50.0,False,n,2053.0,True
4671,34,64.0,50.0,True,b,2134.0,True
4672,34,65.0,150.0,False,n,2909.0,True
4673,34,66.0,0.0,True,b,1812.0,True
4674,34,67.0,150.0,True,b,3700.0,True
4675,34,68.0,0.0,False,n,1181.0,True
4676,34,69.0,50.0,False,n,2373.0,True
4677,34,70.0,50.0,True,b,1722.0,True
4678,34,71.0,100.0,True,b,1513.0,True
4679,34,72.0,100.0,False,n,4528.0,True
4680,34,73.0,100.0,True,b,1575.0,True
